t,loopRate,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,gyroBias.x,gyroBias.y,gyroBias.z,rates.x,rates.y,rates.z,attitude.roll,attitude.pitch,attitude.yaw,controlRoll,controlPitch,controlYaw,controlThrottle,armed,mode,ratesTarget.x,ratesTarget.y,ratesTarget.z,attitudeTarget.roll,attitudeTarget.pitch,attitudeTarget.yaw,thrustTarget,motors[0],motors[1],motors[2],motors[3],voltage,temp,imuTemp
41.89979553222656,,-0.013322148472070694,0.0016518235206604004,0.01151168905198574,,,,,,,,,,,,,,,,,,,,,,,,,,0.623242974281311,0.5992308855056763,0.6139793395996094,0.563546895980835,,,
41.90109634399414,,0.046333570033311844,0.06237282603979111,-0.005532801616936922,,,,,,,,,,,,,,,,,,,,,,,,,,0.6131253838539124,0.5987549424171448,0.6221259236335754,0.5659938454627991,,,
41.902042388916016,,-0.026105515658855438,-0.06865669786930084,0.017903372645378113,,,,,,,,,,,,,,,,,,,,,,,,,,0.6197407841682434,0.600614607334137,0.616749107837677,0.5628955960273743,,,
41.90290832519531,,-0.03249720484018326,-0.048416368663311005,0.022164495661854744,,,,,,,,,,,,,,,,,,,,,,,,,,0.6240034103393555,0.6000840663909912,0.6139945983886719,0.5619180202484131,,,
41.903743743896484,,0.052725255489349365,0.0804825946688652,-0.0012716790661215782,,,,,,,,,,,,,-0.029999999329447746,0.009999999776482582,0.0,0.6000000238418579,,,,,,,,,,0.6130601167678833,0.598436713218689,0.6233304738998413,0.5651727914810181,,,
41.904632568359375,,0.004787623882293701,-0.023914910852909088,0.01151168905198574,,,,,,,,,,,,,,,,,,,,,,,,,,0.6154085397720337,0.5998806953430176,0.6212351322174072,0.5634757280349731,,,
41.905635833740234,,-0.044215284287929535,-0.0846359133720398,0.026425618678331375,,,,,,,,,,,,,,,,,,,,,,,,,,0.6233809590339661,0.6003208756446838,0.6152662634849548,0.5610319972038269,,,
41.90663146972656,,0.03781132400035858,0.06343811005353928,-0.00020639877766370773,,,,,,,,,,,,,,,,,,,,,,,,,,0.6156143546104431,0.5986960530281067,0.6214391589164734,0.5642505288124084,,,
41.90763473510742,,0.029289081692695618,0.019761592149734497,-0.00020639877766370773,,,,,,,,,,,,,,,,,,,,,,,,,,0.613020122051239,0.5994412302970886,0.6227588057518005,0.5647799372673035,,,
41.908634185791016,,-0.041019439697265625,-0.09422343969345093,0.026425618678331375,,,,,,,,,,,,,,,,,,,,,,,,,,0.6222209334373474,0.600608766078949,0.6157440543174744,0.5614263415336609,,,
41.909637451171875,,0.017570991069078445,0.015500470995903015,0.014707531780004501,,,,,,,,,,,,,,,,,,,,,,,,,,0.6192865371704102,0.599292516708374,0.6190260648727417,0.5623949766159058,,,
41.9106330871582,,0.047398850321769714,0.04213248938322067,0.004054724238812923,,,,,,,,,,,,,,,,,,,,,,,,,,0.613861083984375,0.5991523265838623,0.6234527826309204,0.5635339021682739,,,
41.91163635253906,,-0.03036663681268692,-0.08144006878137589,0.025360336527228355,,,,,,,,,,,,,,,,,,,,,,,,,,0.621686577796936,0.6001020669937134,0.6173945665359497,0.5608168840408325,,,
41.91263198852539,,-0.005865182727575302,-0.023914910852909088,0.016838092356920242,,,,,,,,,,,,,,,,,,,,,,,,,,0.622391939163208,0.5994123220443726,0.6170861721038818,0.5611096620559692,,,
41.91363525390625,,0.05698637664318085,0.06130754202604294,-0.004467521328479052,,,,,,,,,,,,,,,,,,,,,,,,,,0.6141195893287659,0.5990281701087952,0.6231178641319275,0.5637344717979431,,,
41.914634704589844,,-0.006930463016033173,-0.06226501613855362,0.016838092356920242,,,,,,,,,,,,,,,,,,,,,,,,,,0.6192299127578735,0.6006029844284058,0.6187781095504761,0.5613890886306763,,,
41.91563415527344,,-0.017583269625902176,-0.07291781902313232,0.025360336527228355,,,,,,,,,,,,,,,,,,,,,,,,,,0.6243088841438293,0.6010429263114929,0.6153474450111389,0.5593008399009705,,,
41.91663360595703,,0.058051660656929016,0.06343811005353928,0.0019241628469899297,,,,,,,,,,,,,,,,,,,,,,,,,,0.6156430840492249,0.5994959473609924,0.6225200295448303,0.562341034412384,,,
41.91763687133789,,0.018636273220181465,-0.018588505685329437,0.01044640876352787,,,,,,,,,,,,,,,,,,,,,,,,,,0.616437554359436,0.6001430749893188,0.6215580701828003,0.5618613958358765,,,
41.91863250732422,,-0.02290967106819153,-0.09315815567970276,0.026425618678331375,4.34075403213501,-3.1316637992858887,14.755690574645996,,,,0.007419019937515259,-0.02676445245742798,0.014652211219072342,-0.014969132840633392,0.0133639732375741,2.726099967956543,,,,,,,,,,,,,,0.6238746643066406,0.6012706756591797,0.615913987159729,0.5589407682418823,,,
41.91962814331055,,0.052725255489349365,0.03680608421564102,0.00831584632396698,,,,,,,,,,,,,,,,,,,,,,,,,,0.6174013614654541,0.6001545190811157,0.6216514110565186,0.5607928037643433,,,
41.920631408691406,,0.047398850321769714,0.013369910418987274,0.01044640876352787,,,,,,,,,,,,,,,,,,,,,,,,,,0.6146518588066101,0.6001774668693542,0.6240715384483337,0.5610992312431335,,,
